Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,,,,,Dist Met,Dist Inv,,,Year Diff,Comp Fact,cmp msr
1,c,a,1270,9,2008,0,,,,-0.544955496,,,,0.016222633,0.983777367,,,8,7.87021894,0.068342473
2,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",-0.638756394,,5336.793103,mean,0.00699024,0.99300976,75860,max,9,8.93708784,0.077606822
3,a,a,14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",1.17830101,,7462.615087,std dev,0.185834872,0.814165128,40,min,10,8.141651279,0.070699505
4,c,c,620,9,2009,0,,,,-0.63205633,,,,0.007649697,0.992350303,,,7,6.946452123,0.060320776
5,a,a,29910,4,2015,0,,,,3.292841264,,,,0.393959377,0.606040623,2016,Year,1,0.606040623,0.005262664
6,a,a,310,12,2013,0,,,,-0.673596728,,,,0.003561066,0.996438934,,,3,2.989316803,0.025958274
7,a,c,24000,4,2013,0,,,,2.500893679,,,,0.316011606,0.683988394,115.1585334,cmp Max,3,2.051965181,0.017818612
8,a,a,7520,10,2014,0,,,,0.292552526,,,,0.098654709,0.901345291,0,cmp min,2,1.802690583,0.01565399
9,a,c,2030,8,2000,0,,,,-0.44311452,,,,0.026246373,0.973753627,,,16,15.58005803,0.135292258
10,a,a,3160,9,2009,0,,,,-0.29169307,,,,0.041150092,0.958849908,,,7,6.711949354,0.058284429
11,a,c,960,11,2011,1,1,2012,"Jan,Apr,Jul,Oct",-0.586495894,,,,0.012134002,0.987865998,,,5,4.939329992,0.042891567
12,a,c,1070,,2009,1,13,2010,"Jan,Apr,Jul,Oct",-0.571755752,,,,0.013584806,0.986415194,,,7,6.904906357,0.059960006
13,d,a,310,,2009,1,45,2009,"Feb,May,Aug,Nov",-0.673596728,,,,0.003561066,0.996438934,,,7,6.97507254,0.060569307
14,a,a,1300,3,2014,1,40,2011,"Jan,Apr,Jul,Oct",-0.540935457,,,,0.016618307,0.983381693,,,2,1.966763387,0.017078746
15,d,c,4110,3,2010,1,14,2011,"Jan,Apr,Jul,Oct",-0.16439185,,,,0.053679768,0.946320232,,,6,5.677921393,0.04930526
16,a,c,3270,,2009,0,,,,-0.276952929,,,,0.042600897,0.957399103,,,7,6.701793722,0.058196241
17,a,a,50,12,2005,1,26,2010,"Jan,Apr,Jul,Oct",-0.708437062,,,,0.000131891,0.999868109,,,11,10.9985492,0.095507896
18,d,c,13840,6,2010,1,14,2012,"Jan,Apr,Jul,Oct",1.139440638,,,,0.182010024,0.817989976,,,6,4.907939858,0.042618985
19,a,c,3240,,2009,1,22,2011,"Mar,Jun,Sept,Dec",-0.280972967,,,,0.042205223,0.957794777,,,7,6.70456344,0.058220292
20,d,a,2340,5,2009,1,40,2014,"Jan,Apr,Jul,Oct",-0.401574122,,,,0.030335004,0.969664996,,,7,6.787654972,0.058941832
21,c,c,550,10,1999,1,45,2009,"Jan,Apr,Jul,Oct",-0.64143642,,,,0.006726457,0.993273543,,,17,16.88565022,0.146629605
22,a,a,1040,,2009,1,22,2012,"Jan,Apr,Jul,Oct",-0.575775791,,,,0.013189132,0.986810868,,,7,6.907676075,0.059984057
23,d,a,4060,8,2005,0,,,,-0.171091915,,,,0.053020311,0.946979689,,,11,10.41677658,0.090455968
24,a,c,4590,3,2000,1,40,2011,"Jan,Apr,Jul,Oct",-0.100071234,,,,0.060010551,0.939989449,,,16,15.03983118,0.1306011
25,c,a,430,4,2003,0,,,,-0.657516574,,,,0.005143762,0.994856238,,,13,12.9331311,0.112307188
26,d,a,2300,,2009,0,,,,-0.406934174,,,,0.029807439,0.970192561,,,7,6.791347929,0.058973901
