Id,Sales
1,3840.16674805
857,4209.62939453
1713,4422.23925781
2569,4945.46142578
3425,5670.20019531
4281,4228.94042969
5137,3776.89135742
5993,3384.07226562
6849,3520.83203125
7705,3720.83276367
8561,4125.51953125
9417,5051.94824219
10273,4800.40820312
11129,4331.46435547
11985,4704.10205078
12841,4956.28076172
13697,5337.43261719
14553,5927.92529297
15409,5906.82128906
16265,4597.20410156
17121,4025.33374023
17977,3655.32592773
18833,3752.09179688
19689,3155.39306641
20545,3707.61694336
21401,4365.99414062
22257,3503.7043457
23113,3952.74780273
23969,4284.10253906
24825,4666.36035156
25681,4908.07275391
26537,5572.05175781
27393,5438.97167969
28249,4408.05029297
29105,4024.05908203
29961,4012.33789062
30817,3590.8762207
31673,3558.35205078
32529,4370.94042969
33385,5101.09228516
34241,4475.55273438
35097,4502.58984375
35953,4380.33984375
36809,4731.27832031
37665,4913.7265625
38521,5824.77734375
39377,6421.45800781
40233,5287.44921875
2,6565.29052734
858,7411.14648438
1714,8629.80566406
2570,9893.55078125
3426,5480.06933594
4282,4219.38671875
5138,5042.73339844
5994,5318.41064453
6850,5743.28125
7706,5484.47753906
8562,6151.95996094
9418,4961.11474609
10274,4347.34277344
11130,6447.59716797
11986,7300.875
12842,7760.44970703
13698,9144.76367188
14554,10105.0458984
15410,5705.98144531
16266,4618.44677734
17122,5418.75537109
17978,5136.79492188
18834,5374.55322266
19690,3918.44189453
20546,4062.84570312
21402,5527.17919922
22258,3856.76757812
23114,6545.21972656
23970,7142.22412109
24826,8268.07519531
25682,8806.01953125
26538,9558.80175781
27394,5876.67724609
28250,4005.73706055
29106,5539.11767578
29962,5718.86230469
30818,5356.890625
31674,5376.58398438
32530,5732.70703125
33386,5510.02441406
34242,4151.95117188
35098,7030.64013672
35954,7299.32226562
36810,7391.06982422
37666,7869.42333984
38522,10003.9619141
39378,5853.27099609
40234,4356.73339844
3,9392.63867188
859,9646.11914062
1715,9911.30664062
2571,11729.21875
3427,3120.3190918
4283,6654.09375
5139,8311.92675781
5995,8947.59472656
6851,8476.13574219
7707,9163.59667969
8563,9604.17480469
9419,2920.03393555
10275,7081.17578125
11131,8883.5546875
11987,9331.35742188
12843,10899.8242188
13699,11249.5009766
14555,13698.5703125
15411,4627.83105469
16267,8347.61523438
17123,9580.47949219
17979,9191.53710938
18835,9756.26269531
19691,7474.00537109
20547,6987.953125
21403,3851.26782227
22259,6855.03662109
23115,9187.19921875
23971,10588.6513672
24827,10615.2851562
25683,10948.6269531
26539,12453.1308594
27395,3668.02294922
28251,7443.421875
29107,10369.4482422
29963,10915.7929688
30819,8697.05859375
31675,9942.10546875
32531,10552.5273438
33387,3654.09179688
34243,7454.21386719
35099,9891.38085938
35955,10775.1582031
36811,10619.0830078
37667,10432.8388672
38523,13553.3066406
39379,4307.89501953
40235,7556.58789062
4,6697.74951172
860,6307.76855469
1716,7044.74316406
2572,9451.40136719
3428,6252.77832031
4284,4247.43603516
5140,5717.09521484
5996,6172.34960938
6852,5412.53076172
7708,5336.28710938
8564,5666.15087891
9420,5189.06005859
10276,4179.90722656
11132,6209.36816406
11988,6927.33789062
12844,6980.03271484
13700,7674.17529297
14556,10136.3496094
15412,7442.16503906
16268,5000.25732422
17124,5467.32470703
17980,5551.08154297
18836,5690.39892578
19692,4305.60302734
20548,4647.95605469
21404,6101.24804688
22260,3804.703125
23116,5650.68212891
23972,6860.40039062
24828,6445.75878906
25684,7474.29052734
